anio,semana_nro,fecha_inicio_semana,fecha_fin_semana,trimestre,mes
2026,1,2025-12-29,2026-01-04,1,1
2026,2,2026-01-05,2026-01-11,1,1
2026,3,2026-01-12,2026-01-18,1,1
2026,4,2026-01-19,2026-01-25,1,1
2026,5,2026-01-26,2026-02-01,1,2
2026,6,2026-02-02,2026-02-08,1,2
2026,7,2026-02-09,2026-02-15,1,2
2026,8,2026-02-16,2026-02-22,1,2
2026,9,2026-02-23,2026-03-01,1,3
2026,10,2026-03-02,2026-03-08,1,3
2026,11,2026-03-09,2026-03-15,1,3
2026,12,2026-03-16,2026-03-22,1,3
2026,13,2026-03-23,2026-03-29,1,3
2026,14,2026-03-30,2026-04-05,2,4
2026,15,2026-04-06,2026-04-12,2,4
2026,16,2026-04-13,2026-04-19,2,4
2026,17,2026-04-20,2026-04-26,2,4
2026,18,2026-04-27,2026-05-03,2,5
2026,19,2026-05-04,2026-05-10,2,5
